Track Name,,Line name,1141219NKLUP,Report Name,Wear_left,Operator,
Starting Km,100.300,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 01:31:53

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,100.300250,0.0,0.0,0.0,0.4,
2,100.300500,0.0,0.0,0.0,0.4,
3,100.300750,0.0,0.0,0.0,0.4,
4,100.301000,0.0,0.0,0.0,0.3,
5,100.301250,0.0,0.0,0.0,-3.0,
6,100.301500,0.0,0.0,0.2,-4.1,
7,100.301750,0.0,0.0,0.3,-4.1,
8,100.302000,0.1,0.3,0.6,-3.9,
9,100.302250,0.0,0.0,0.0,-7.9,
10,100.302500,0.0,0.0,0.0,-4.4,
11,100.302750,0.0,0.0,0.0,-4.3,
12,100.303000,0.0,0.0,0.0,-4.4,
13,100.303250,0.0,0.0,0.2,-4.4,
14,100.303500,0.0,0.0,0.6,-4.4,
15,100.303750,0.0,0.0,0.9,-4.6,
16,100.304000,0.0,0.0,1.5,-4.6,
17,100.304250,0.0,0.0,1.7,-4.6,
18,100.304500,0.0,0.0,1.8,-4.5,
19,100.304750,0.0,0.0,2.4,-4.5,
20,100.305000,0.0,0.0,5.5,-4.6,
21,100.305250,0.0,0.0,3.3,-4.7,
22,100.305500,0.0,0.0,1.4,-4.7,
23,100.305750,0.0,0.0,0.0,-5.2,
24,100.306000,0.0,0.4,0.0,-6.3,
25,100.306250,0.0,0.2,0.0,inf,
26,100.306500,1.5,0.0,0.0,-0.1,
27,100.306750,1.7,0.0,0.0,0.1,
28,100.307000,1.6,0.0,0.0,0.0,
29,100.307250,1.4,0.0,0.0,-0.0,
30,100.307500,1.4,0.0,0.0,0.0,
31,100.307750,1.9,0.4,0.0,0.7,
32,100.308000,1.9,0.0,0.0,0.3,
33,100.308250,2.1,0.0,0.0,0.3,
34,100.308500,2.0,0.0,0.0,0.6,
35,100.308750,2.2,0.0,0.0,0.5,
36,100.309000,2.3,0.3,0.2,1.0,
37,100.309250,1.8,0.0,0.0,0.8,
38,100.309500,2.2,0.8,0.4,1.4,
39,100.309750,1.7,0.0,0.0,0.5,
40,100.310000,2.0,0.0,0.0,0.7,
41,100.310250,1.6,0.0,0.0,0.6,
42,100.310500,1.6,0.0,0.0,0.4,
43,100.310750,2.5,0.4,0.2,1.0,
44,100.311000,2.0,0.0,0.1,0.7,
45,100.311250,1.8,0.2,0.1,0.9,
46,100.311500,2.5,0.4,0.7,1.1,
47,100.311750,2.0,0.0,0.6,0.7,
48,100.312000,1.7,0.0,0.3,0.5,
49,100.312250,2.1,0.2,0.9,0.9,
50,100.312500,1.9,0.0,0.6,0.6,
51,100.312750,1.7,0.0,0.9,0.6,
52,100.313000,2.0,0.0,1.4,0.7,
53,100.313250,1.7,0.0,1.2,0.5,
54,100.313500,1.6,0.0,1.2,0.4,
55,100.313750,1.9,0.0,1.7,0.6,
56,100.314000,2.1,0.0,2.0,0.6,
57,100.314250,2.3,0.0,2.2,0.6,
58,100.314500,2.4,0.0,2.5,0.6,
59,100.314750,2.5,0.1,2.6,0.5,
60,100.315000,2.6,0.1,2.6,0.4,
61,100.315250,2.5,0.0,2.4,0.2,
62,100.315500,2.7,0.0,2.6,0.4,
63,100.315750,3.1,0.2,2.9,0.3,
64,100.316000,3.2,0.0,2.9,0.2,
65,100.316250,3.5,0.1,3.0,0.5,
66,100.316500,3.4,0.0,2.7,0.2,
67,100.316750,4.0,0.0,3.2,0.3,
68,100.317000,4.2,0.4,3.5,0.6,
69,100.317250,4.5,0.8,3.8,1.7,
70,100.317500,5.3,0.0,4.1,0.1,
71,100.317750,5.6,0.0,4.4,0.3,
72,100.318000,5.7,0.1,4.5,0.4,
73,100.318250,5.6,0.0,4.3,0.2,
74,100.318500,5.9,0.0,4.6,0.4,
75,100.318750,5.9,0.0,4.5,0.3,
76,100.319000,5.9,0.0,4.4,-0.1,
77,100.319250,6.1,0.0,4.7,0.3,
78,100.319500,6.6,0.0,5.1,0.4,
79,100.319750,6.6,0.0,5.1,0.1,
80,100.320000,6.9,0.0,5.4,0.4,
81,100.320250,7.0,0.1,5.6,0.5,
82,100.320500,7.2,0.2,6.0,0.5,
83,100.320750,7.5,0.3,6.3,0.8,
84,100.321000,7.3,0.3,6.1,0.4,
85,100.321250,7.1,0.0,5.8,0.3,
86,100.321500,7.0,0.2,5.8,0.5,
87,100.321750,6.7,0.0,5.4,0.3,
88,100.322000,6.8,0.0,5.4,0.3,
89,100.322250,6.8,0.0,5.4,0.4,
90,100.322500,6.8,0.0,5.3,0.3,
91,100.322750,6.6,0.0,5.2,0.1,
92,100.323000,6.5,0.0,5.0,0.3,
93,100.323250,6.4,0.0,4.9,0.3,
94,100.323500,6.5,0.0,5.0,0.4,
95,100.323750,6.5,0.0,5.0,0.5,
96,100.324000,6.4,0.0,4.9,0.3,
97,100.324250,6.3,0.0,4.8,0.3,
98,100.324500,6.4,0.0,4.8,0.4,
99,100.324750,6.2,0.0,4.7,0.3,
100,100.325000,6.6,0.0,5.1,0.3,
101,100.325250,6.4,0.0,5.1,0.4,
102,100.325500,6.4,0.0,5.0,0.4,
103,100.325750,6.3,0.0,4.8,0.3,
104,100.326000,6.4,0.0,5.0,0.4,
105,100.326250,6.6,0.0,5.1,0.5,
106,100.326500,6.6,0.0,5.2,0.4,
107,100.326750,6.5,0.0,5.0,0.5,
108,100.327000,6.4,0.0,4.9,0.2,
109,100.327250,6.6,0.0,5.1,0.5,
110,100.327500,6.6,0.0,5.2,0.5,
111,100.327750,6.7,0.1,5.3,0.5,
112,100.328000,6.6,0.0,5.1,0.2,
113,100.328250,6.6,0.1,5.2,0.5,
114,100.328500,6.7,0.1,5.3,0.5,
115,100.328750,6.6,0.0,5.1,0.2,
116,100.329000,6.9,0.0,5.5,0.3,
117,100.329250,6.9,0.0,5.6,0.5,
118,100.329500,6.9,0.0,5.6,0.3,
119,100.329750,6.8,0.0,5.5,0.4,
120,100.330000,7.0,0.1,5.6,0.4,
121,100.330250,6.9,0.0,5.5,0.3,
122,100.330500,6.9,0.1,5.6,0.4,
123,100.330750,6.9,0.1,5.6,0.5,
124,100.331000,6.8,0.0,5.4,0.2,
125,100.331250,6.8,0.0,5.5,0.3,
126,100.331500,7.1,0.0,5.8,0.4,
127,100.331750,7.2,0.0,5.9,0.4,
128,100.332000,7.3,0.3,6.0,0.7,
129,100.332250,7.2,0.1,6.0,0.5,
130,100.332500,7.2,0.0,6.0,0.4,
131,100.332750,7.3,0.1,6.2,0.5,
132,100.333000,7.4,0.3,6.2,0.6,
133,100.333250,7.5,0.2,6.3,0.4,
134,100.333500,7.3,0.1,6.1,0.5,
135,100.333750,7.6,0.3,6.5,0.7,
136,100.334000,7.5,0.1,6.3,0.5,
137,100.334250,7.6,0.1,6.5,0.5,
138,100.334500,7.3,0.0,6.4,0.4,
139,100.334750,7.5,0.1,6.5,0.6,
140,100.335000,7.3,0.2,6.3,0.5,
141,100.335250,7.4,0.3,6.4,0.7,
142,100.335500,7.4,0.2,6.5,0.5,
143,100.335750,7.3,0.0,6.4,0.4,
144,100.336000,7.4,0.2,6.4,0.6,
145,100.336250,7.5,0.2,6.4,0.6,
146,100.336500,7.4,0.1,6.3,0.6,
147,100.336750,7.5,0.1,6.4,0.5,
148,100.337000,7.6,0.1,6.4,0.5,
149,100.337250,7.5,0.3,6.5,0.5,
150,100.337500,7.5,0.0,6.3,0.3,
