Track Name,,Line name,1141219NKLUP,Report Name,Wear_right,Operator,
Starting Km,100.300,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 01:31:53

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,100.300250,0.0,0.0,0.0,0.5,
2,100.300500,0.0,0.4,3.2,8.5,
3,100.300750,0.0,0.0,0.0,0.4,
4,100.301000,0.0,0.0,0.0,0.4,
5,100.301250,0.0,0.0,0.0,-1.5,
6,100.301500,0.0,0.2,0.0,8.8,
7,100.301750,0.1,1.1,0.2,9.6,
8,100.302000,0.6,0.7,0.0,9.1,
9,100.302250,1.3,0.8,0.0,8.9,
10,100.302500,1.8,1.2,0.1,9.1,
11,100.302750,2.6,1.2,0.0,8.8,
12,100.303000,2.1,1.4,0.0,9.1,
13,100.303250,1.3,0.9,0.0,8.9,
14,100.303500,2.3,1.7,0.5,9.2,
15,100.303750,1.7,1.1,0.1,8.9,
16,100.304000,1.5,1.0,0.1,9.0,
17,100.304250,1.4,0.8,3.1,8.8,
18,100.304500,1.7,2.0,1.1,9.7,
19,100.304750,1.7,1.5,1.8,9.3,
20,100.305000,1.6,4.4,2.1,9.4,
21,100.305250,1.2,0.8,2.2,8.7,
22,100.305500,1.2,1.2,4.6,9.2,
23,100.305750,1.3,1.4,3.2,8.7,
24,100.306000,0.6,1.1,2.0,8.6,
25,100.306250,0.8,1.0,4.7,8.4,
26,100.306500,0.7,1.0,2.1,0.4,
27,100.306750,0.9,1.3,2.5,0.4,
28,100.307000,1.6,1.3,2.7,0.4,
29,100.307250,1.1,1.3,2.7,0.4,
30,100.307500,1.5,1.7,3.2,0.6,
31,100.307750,1.5,1.4,4.4,0.3,
32,100.308000,1.4,1.5,2.9,0.3,
33,100.308250,1.6,1.7,3.1,0.6,
34,100.308500,2.5,0.7,3.5,0.4,
35,100.308750,2.8,0.1,3.7,0.3,
36,100.309000,3.2,0.0,3.9,0.3,
37,100.309250,3.6,0.0,3.9,0.8,
38,100.309500,4.9,0.1,5.4,1.0,
