Track Name,,Line name,1141219NKLDN,Report Name,Wear_left,Operator,
Starting Km,112.000,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:01:42

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,111.999750,1.5,5.6,4.9,6.2,
2,111.999500,0.7,0.0,0.0,-0.8,
3,111.999250,0.8,0.0,0.0,-1.0,
4,111.999000,1.3,0.0,0.0,0.0,
5,111.998750,1.5,0.0,0.3,-0.6,
6,111.998500,1.3,0.0,0.0,-0.9,
7,111.998250,1.4,0.0,0.4,-0.2,
8,111.998000,1.3,0.0,0.0,-0.8,
9,111.997750,1.4,0.0,0.0,-0.5,
10,111.997500,1.5,0.0,0.3,0.1,
11,111.997250,1.5,0.0,0.0,-0.8,
12,111.997000,1.5,0.0,0.0,-0.8,
13,111.996750,1.4,0.0,0.0,-0.1,
14,111.996500,1.3,0.0,0.0,-0.9,
15,111.996250,1.3,0.0,0.0,-0.8,
16,111.996000,1.5,0.0,0.0,-0.0,
17,111.995750,1.1,0.0,0.0,-1.1,
18,111.995500,1.4,0.0,0.0,-0.6,
19,111.995250,1.5,0.0,0.0,-0.1,
20,111.995000,1.5,0.0,0.0,-0.2,
21,111.994750,3.1,0.0,0.9,0.4,
22,111.994500,1.6,0.2,0.0,0.7,
23,111.994250,1.5,0.0,0.0,0.4,
24,111.994000,1.6,0.0,0.0,-0.3,
25,111.993750,1.9,0.1,0.0,0.6,
26,111.993500,1.6,0.0,0.0,-0.2,
27,111.993250,1.6,0.0,0.0,-0.2,
28,111.993000,1.8,0.1,0.0,0.6,
29,111.992750,1.7,0.0,0.0,0.1,
30,111.992500,1.6,0.0,0.0,0.2,
31,111.992250,1.6,0.1,0.0,0.7,
32,111.992000,1.5,0.0,0.0,0.2,
33,111.991750,1.3,0.0,0.0,0.0,
34,111.991500,1.4,0.0,0.0,0.3,
35,111.991250,1.4,0.0,0.0,0.0,
36,111.991000,1.2,0.0,0.0,-0.2,
37,111.990750,1.4,0.0,0.0,0.2,
38,111.990500,1.1,0.0,0.0,-0.2,
39,111.990250,1.5,0.0,0.1,-0.2,
40,111.990000,1.6,0.0,0.2,0.3,
41,111.989750,1.8,0.0,0.4,-0.1,
42,111.989500,2.0,0.0,0.6,-0.2,
43,111.989250,1.9,0.0,0.6,0.1,
44,111.989000,1.8,0.0,0.3,-0.3,
45,111.988750,1.8,0.0,0.5,-0.1,
46,111.988500,1.7,0.0,0.5,0.2,
47,111.988250,1.5,0.0,0.0,-0.3,
48,111.988000,1.5,0.0,0.2,-0.0,
49,111.987750,2.0,0.0,0.7,0.4,
50,111.987500,2.0,0.0,0.7,-0.0,
51,111.987250,2.0,0.0,0.8,0.1,
52,111.987000,1.9,0.0,0.7,0.2,
53,111.986750,2.0,0.0,0.6,0.1,
54,111.986500,1.7,0.0,0.1,-0.3,
55,111.986250,1.7,0.0,0.3,0.1,
56,111.986000,1.8,0.0,0.2,-0.3,
57,111.985750,1.5,0.0,0.0,-0.5,
58,111.985500,1.8,0.0,0.3,0.2,
59,111.985250,1.8,0.0,0.1,-0.2,
60,111.985000,2.0,0.0,0.5,-0.3,
61,111.984750,2.1,0.0,0.6,0.3,
62,111.984500,2.1,0.0,0.4,-0.3,
63,111.984250,2.1,0.0,0.1,-0.2,
64,111.984000,2.0,0.0,0.4,0.2,
65,111.983750,2.0,0.0,0.3,-0.2,
66,111.983500,1.9,0.0,0.2,-0.1,
67,111.983250,2.0,0.0,0.4,0.4,
68,111.983000,1.7,0.0,0.0,-0.3,
69,111.982750,2.0,0.0,0.3,-0.3,
70,111.982500,1.7,0.0,0.4,0.5,
71,111.982250,2.0,0.0,0.5,-0.0,
72,111.982000,1.9,0.0,0.2,0.1,
73,111.981750,1.9,0.0,0.4,0.2,
74,111.981500,2.0,0.0,0.5,-0.0,
75,111.981250,1.8,0.0,0.2,-0.1,
76,111.981000,1.9,0.1,0.3,0.6,
77,111.980750,1.7,0.0,0.1,0.1,
78,111.980500,1.5,0.0,0.0,-0.1,
79,111.980250,1.6,0.0,0.2,0.5,
80,111.980000,1.5,0.0,0.0,-0.0,
81,111.979750,1.4,0.0,0.0,0.0,
82,111.979500,1.8,0.2,0.3,0.7,
83,111.979250,1.6,0.0,0.2,0.3,
84,111.979000,1.5,0.0,0.0,0.1,
85,111.978750,1.2,0.0,0.0,0.0,
86,111.978500,2.3,2.4,1.9,2.7,
87,111.978250,1.1,0.0,0.0,-0.5,
88,111.978000,1.6,0.0,0.1,0.3,
89,111.977750,1.9,0.0,0.1,0.2,
90,111.977500,1.7,0.0,0.1,0.1,
91,111.977250,1.5,0.0,0.0,0.1,
92,111.977000,1.2,0.0,0.0,-0.1,
93,111.976750,1.7,0.0,0.0,-0.1,
94,111.976500,1.8,0.0,0.2,-0.1,
95,111.976250,1.6,0.0,0.1,-0.2,
96,111.976000,1.9,0.0,0.5,0.1,
