Track Name,,Line name,1141219NKLDN,Report Name,Wear_right,Operator,
Starting Km,112.000,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:01:42

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,111.999750,3.2,0.0,0.0,-3.1,
2,111.999500,2.9,0.0,0.5,-1.5,
3,111.999250,0.5,0.0,0.0,0.2,
4,111.999000,0.0,0.0,0.0,0.4,
5,111.998750,0.6,0.0,0.0,0.3,
6,111.998500,0.6,0.0,0.0,0.1,
7,111.998250,0.6,0.0,0.0,0.4,
8,111.998000,0.7,0.0,0.0,0.3,
9,111.997750,0.7,0.0,0.0,0.4,
10,111.997500,0.4,0.0,0.0,0.3,
11,111.997250,0.6,0.0,0.0,0.4,
12,111.997000,0.6,0.0,0.0,0.4,
13,111.996750,0.7,0.3,0.4,1.0,
14,111.996500,0.5,0.0,0.0,0.5,
15,111.996250,0.0,0.0,0.0,0.5,
16,111.996000,0.4,0.1,0.2,0.8,
17,111.995750,0.5,0.0,0.2,0.7,
18,111.995500,0.3,0.2,0.2,0.8,
19,111.995250,0.3,0.5,0.0,1.1,
20,111.995000,1.1,0.7,0.7,1.3,
21,111.994750,1.4,0.1,0.5,0.8,
22,111.994500,1.0,0.6,0.5,1.0,
23,111.994250,0.9,0.1,0.2,0.8,
24,111.994000,0.6,0.0,0.1,0.6,
25,111.993750,0.8,0.1,0.2,0.7,
26,111.993500,0.7,0.0,0.0,0.5,
27,111.993250,0.7,0.0,0.0,0.5,
28,111.993000,0.9,0.4,0.3,0.9,
29,111.992750,0.6,0.0,0.0,0.5,
30,111.992500,0.7,0.0,0.0,0.6,
31,111.992250,0.8,0.0,0.0,0.5,
32,111.992000,0.8,0.1,0.0,0.7,
33,111.991750,0.7,0.0,0.0,0.7,
34,111.991500,0.4,0.0,0.0,0.4,
35,111.991250,0.8,0.1,0.0,0.7,
36,111.991000,0.7,0.0,0.1,0.6,
37,111.990750,0.5,0.0,0.0,0.3,
