Track Name,,Line name,1141219NKLDN1,Report Name,Wear_left,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,105.059750,9.5,0.0,8.5,0.1,
2,105.059500,8.9,0.0,7.7,-0.8,
3,105.059250,9.2,0.2,8.2,0.3,
4,105.059000,9.2,0.0,8.1,0.2,
5,105.058750,9.1,0.0,7.9,-0.1,
6,105.058500,9.2,0.3,8.1,0.3,
7,105.058250,9.2,0.0,8.1,0.1,
8,105.058000,8.4,0.0,7.3,-0.9,
9,105.057750,8.6,0.0,7.6,0.0,
10,105.057500,8.9,0.0,7.8,0.0,
11,105.057250,8.9,0.0,7.8,0.1,
12,105.057000,9.0,0.3,8.1,0.3,
13,105.056750,8.9,0.0,7.8,-0.1,
14,105.056500,8.6,0.0,7.5,-0.6,
15,105.056250,8.9,0.0,7.8,0.0,
16,105.056000,8.8,0.0,7.8,0.0,
17,105.055750,8.7,0.0,7.6,-0.1,
18,105.055500,8.7,0.1,7.7,0.2,
19,105.055250,8.7,0.0,7.5,0.0,
20,105.055000,8.2,0.0,7.0,-0.7,
21,105.054750,8.8,0.0,7.7,0.0,
22,105.054500,8.9,0.0,7.8,-0.1,
23,105.054250,8.8,0.0,7.6,-0.5,
24,105.054000,8.9,0.0,7.8,-0.2,
25,105.053750,9.1,0.0,8.1,-0.3,
26,105.053500,9.1,0.0,8.0,-0.4,
27,105.053250,9.2,0.0,8.2,0.1,
28,105.053000,9.3,0.0,8.3,-0.1,
29,105.052750,9.0,0.0,8.0,-0.5,
30,105.052500,9.1,0.0,8.0,-0.1,
31,105.052250,9.7,0.0,8.6,-0.3,
32,105.052000,9.5,0.0,8.6,-0.2,
33,105.051750,9.6,0.5,8.6,0.6,
34,105.051500,9.3,0.0,8.2,-0.0,
35,105.051250,8.8,0.0,7.7,-0.5,
36,105.051000,8.7,0.0,7.5,-0.0,
37,105.050750,8.5,0.0,7.4,-0.2,
38,105.050500,8.0,0.0,6.9,-0.8,
39,105.050250,8.0,0.0,7.0,-0.3,
40,105.050000,8.3,0.0,7.1,-0.1,
41,105.049750,8.1,0.0,7.0,-0.7,
42,105.049500,8.3,0.0,7.1,-0.1,
43,105.049250,8.7,0.0,7.5,-0.0,
44,105.049000,8.5,0.0,7.3,-0.4,
45,105.048750,8.6,0.0,7.3,-0.2,
46,105.048500,8.7,0.0,7.6,-0.2,
47,105.048250,8.6,0.0,7.4,-0.3,
48,105.048000,8.8,0.0,7.6,-0.0,
