Track Name,,Line name,1141219NKLDN1,Report Name,Wear_right,Operator,
Starting Km,105.060,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2025.12.20, Measurement Time, 03:43:23

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,105.059750,9.1,0.7,9.0,0.7,
2,105.059500,8.5,0.9,9.1,0.8,
3,105.059250,8.7,0.9,8.9,0.8,
4,105.059000,8.7,1.6,9.1,1.4,
5,105.058750,8.2,1.0,8.7,0.9,
6,105.058500,9.0,0.5,8.5,0.7,
7,105.058250,9.1,1.4,8.8,1.4,
8,105.058000,8.7,1.0,8.6,1.0,
9,105.057750,8.4,0.6,8.3,0.7,
10,105.057500,7.8,1.5,8.5,1.3,
11,105.057250,8.8,0.9,8.4,1.0,
12,105.057000,7.7,1.0,8.3,0.9,
13,105.056750,8.6,1.1,8.4,1.2,
14,105.056500,7.6,0.7,8.0,0.6,
15,105.056250,8.7,0.6,8.1,0.8,
16,105.056000,7.6,1.0,8.2,1.1,
17,105.055750,8.0,0.7,8.1,0.7,
18,105.055500,7.8,0.5,7.9,0.6,
19,105.055250,7.3,0.9,8.0,0.9,
20,105.055000,7.3,0.7,7.9,0.7,
21,105.054750,8.5,0.4,7.9,0.6,
22,105.054500,8.5,0.2,7.7,0.5,
23,105.054250,7.2,0.3,7.8,0.6,
24,105.054000,8.3,0.2,7.7,0.6,
25,105.053750,7.5,0.9,7.9,1.2,
26,105.053500,8.1,0.4,7.9,0.8,
27,105.053250,7.3,0.7,7.7,0.9,
28,105.053000,7.7,0.7,7.8,1.0,
29,105.052750,7.8,0.6,7.5,0.9,
30,105.052500,7.5,0.4,7.3,0.8,
31,105.052250,6.8,0.7,7.4,0.9,
32,105.052000,7.3,0.6,7.4,0.8,
33,105.051750,7.9,0.5,7.5,0.8,
34,105.051500,7.6,1.1,7.8,1.3,
35,105.051250,7.9,0.5,7.6,0.8,
36,105.051000,7.7,0.7,7.9,0.8,
37,105.050750,7.4,1.2,8.1,1.1,
38,105.050500,8.4,0.6,8.1,0.7,
39,105.050250,7.7,1.0,8.3,0.8,
40,105.050000,8.8,1.2,8.6,1.2,
41,105.049750,8.8,0.9,8.6,0.7,
42,105.049500,9.2,0.8,8.9,0.8,
43,105.049250,8.5,1.2,9.0,1.0,
44,105.049000,8.8,1.0,8.9,0.7,
45,105.048750,9.0,1.0,9.1,0.8,
46,105.048500,9.6,1.5,9.3,1.3,
47,105.048250,9.3,0.8,9.1,0.6,
48,105.048000,9.2,0.9,9.1,0.7,
49,105.047750,9.6,1.1,9.2,1.1,
50,105.047500,8.1,0.9,8.9,0.8,
51,105.047250,9.0,0.5,8.5,0.6,
52,105.047000,8.9,1.0,8.6,1.1,
53,105.046750,8.5,0.5,8.4,0.5,
54,105.046500,8.5,0.2,8.3,0.4,
55,105.046250,8.9,0.4,8.3,0.5,
56,105.046000,7.8,0.6,8.4,0.5,
57,105.045750,8.0,0.9,8.6,0.8,
58,105.045500,8.3,0.6,8.6,0.6,
59,105.045250,8.7,0.7,8.5,0.7,
