Track Name,,Line name,1150114XYLDN,Report Name,Wear_left,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,101.799750,5.3,0.8,4.5,0.8,
2,101.799500,5.1,0.5,4.2,0.5,
3,101.799250,4.9,0.2,3.9,0.3,
4,101.799000,5.1,0.6,4.3,0.5,
5,101.798750,5.1,0.4,4.2,0.4,
6,101.798500,5.0,0.1,4.0,0.2,
7,101.798250,5.4,0.5,4.4,0.6,
8,101.798000,5.3,0.7,4.5,0.7,
9,101.797750,5.3,0.7,4.4,0.7,
10,101.797500,5.3,0.8,4.5,0.7,
11,101.797250,5.2,0.9,4.5,0.8,
12,101.797000,5.0,0.5,4.3,0.4,
13,101.796750,5.2,0.8,4.4,0.6,
14,101.796500,5.2,0.7,4.4,0.6,
15,101.796250,5.1,0.5,4.2,0.5,
16,101.796000,5.2,0.8,4.4,0.6,
17,101.795750,5.2,1.0,4.5,1.0,
18,101.795500,5.1,0.9,4.4,0.8,
19,101.795250,5.1,1.0,4.3,0.9,
20,101.795000,5.1,1.3,4.5,1.1,
21,101.794750,5.1,1.1,4.5,1.0,
22,101.794500,5.2,1.2,4.6,1.0,
23,101.794250,5.2,1.3,4.7,1.2,
24,101.794000,5.4,1.2,4.7,1.0,
25,101.793750,5.4,1.1,4.6,1.0,
26,101.793500,5.6,1.4,5.0,1.3,
27,101.793250,5.3,0.8,4.5,0.8,
28,101.793000,5.5,1.0,4.7,0.9,
29,101.792750,5.5,1.4,4.9,1.2,
30,101.792500,5.5,1.1,4.8,1.1,
31,101.792250,5.4,1.1,4.6,1.0,
32,101.792000,5.3,1.2,4.5,1.1,
33,101.791750,5.0,0.4,4.0,0.5,
34,101.791500,5.5,0.5,4.4,0.6,
35,101.791250,5.9,0.8,4.9,0.7,
36,101.791000,5.7,0.4,4.6,0.4,
37,101.790750,5.6,0.3,4.5,0.3,
38,101.790500,5.6,0.1,4.3,0.3,
39,101.790250,5.8,0.4,4.6,0.5,
40,101.790000,5.6,0.2,4.3,0.2,
41,101.789750,5.7,0.1,4.5,0.2,
42,101.789500,5.9,0.3,4.6,0.3,
43,101.789250,5.8,0.2,4.6,0.2,
44,101.789000,6.1,0.4,4.9,0.4,
45,101.788750,6.3,0.7,5.1,0.7,
46,101.788500,6.2,0.6,5.0,0.5,
47,101.788250,6.0,0.2,4.7,0.3,
48,101.788000,6.0,0.2,4.8,0.3,
49,101.787750,6.2,0.4,4.9,0.3,
50,101.787500,6.1,0.3,4.8,0.3,
51,101.787250,6.1,0.5,4.9,0.4,
52,101.787000,6.0,0.4,4.7,0.2,
53,101.786750,6.2,0.6,5.1,0.6,
54,101.786500,6.2,0.8,5.2,0.7,
55,101.786250,5.9,0.6,4.8,0.4,
56,101.786000,6.1,0.8,5.0,0.6,
57,101.785750,6.1,0.9,5.1,0.7,
58,101.785500,5.7,0.5,4.6,0.2,
59,101.785250,5.9,0.8,4.8,0.5,
60,101.785000,6.0,1.0,5.1,0.7,
61,101.784750,5.6,0.5,4.5,0.3,
62,101.784500,5.8,0.8,4.7,0.6,
63,101.784250,5.8,0.7,4.8,0.6,
64,101.784000,5.6,0.5,4.5,0.3,
65,101.783750,5.9,1.0,4.9,0.8,
66,101.783500,6.0,1.0,5.0,0.8,
67,101.783250,5.7,0.5,4.5,0.4,
68,101.783000,5.6,0.3,4.4,0.3,
69,101.782750,5.8,0.8,4.7,0.6,
70,101.782500,5.3,0.4,4.2,0.3,
71,101.782250,5.3,0.5,4.2,0.5,
72,101.782000,5.4,0.7,4.4,0.7,
73,101.781750,5.1,0.4,3.9,0.3,
74,101.781500,5.3,0.5,4.2,0.6,
75,101.781250,5.2,0.5,4.1,0.5,
76,101.781000,5.3,0.4,4.1,0.4,
77,101.780750,5.3,0.4,4.2,0.4,
78,101.780500,5.5,0.7,4.4,0.6,
79,101.780250,5.2,0.3,3.9,0.3,
80,101.780000,5.2,0.3,4.0,0.3,
81,101.779750,5.3,0.6,4.2,0.6,
82,101.779500,5.1,0.3,3.9,0.3,
83,101.779250,5.0,0.3,3.8,0.3,
84,101.779000,5.1,0.2,3.9,0.2,
85,101.778750,5.0,0.1,3.9,0.1,
86,101.778500,5.1,0.1,3.9,0.1,
87,101.778250,5.3,0.2,4.0,0.2,
88,101.778000,5.5,0.2,4.2,0.2,
89,101.777750,5.5,0.2,4.2,0.2,
90,101.777500,5.5,0.2,4.2,0.2,
91,101.777250,5.5,0.2,4.2,0.2,
92,101.777000,5.4,0.2,4.2,0.2,
