Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,101.799750,1.6,inf,inf,inf,
2,101.799500,inf,inf,inf,inf,
3,101.799250,16.4,25.4,30.0,21.9,
4,101.799000,inf,inf,inf,inf,
5,101.798750,inf,inf,inf,inf,
6,101.798500,14.7,25.2,30.0,20.4,
7,101.798250,inf,inf,inf,inf,
8,101.798000,inf,inf,inf,inf,
9,101.797750,12.8,25.1,29.2,18.7,
10,101.797500,inf,inf,inf,inf,
11,101.797250,inf,inf,inf,inf,
12,101.797000,11.4,24.9,28.2,17.4,
13,101.796750,inf,inf,inf,inf,
14,101.796500,inf,inf,inf,inf,
15,101.796250,10.8,24.8,27.8,16.8,
16,101.796000,inf,inf,inf,inf,
17,101.795750,inf,inf,inf,inf,
18,101.795500,10.8,24.8,27.8,16.8,
19,101.795250,inf,inf,inf,inf,
20,101.795000,inf,inf,inf,inf,
21,101.794750,11.8,24.9,28.5,17.7,
22,101.794500,inf,inf,inf,inf,
23,101.794250,inf,inf,inf,inf,
24,101.794000,12.5,25.0,29.0,18.4,
25,101.793750,inf,inf,inf,inf,
26,101.793500,inf,inf,inf,inf,
27,101.793250,13.4,25.1,29.6,19.2,
28,101.793000,inf,inf,inf,inf,
29,101.792750,inf,inf,inf,inf,
30,101.792500,14.1,25.2,30.0,19.9,
31,101.792250,inf,inf,inf,inf,
32,101.792000,inf,inf,inf,inf,
33,101.791750,14.8,25.3,30.0,20.5,
34,101.791500,inf,inf,inf,inf,
35,101.791250,inf,inf,inf,inf,
36,101.791000,14.5,25.2,30.0,20.2,
37,101.790750,inf,inf,inf,inf,
38,101.790500,inf,inf,inf,inf,
39,101.790250,14.2,25.2,30.0,20.0,
40,101.790000,inf,inf,inf,inf,
41,101.789750,inf,inf,inf,inf,
42,101.789500,15.2,25.3,30.0,20.8,
43,101.789250,inf,inf,inf,inf,
44,101.789000,inf,inf,inf,inf,
45,101.788750,15.2,25.3,30.0,20.8,
46,101.788500,inf,inf,inf,inf,
47,101.788250,inf,inf,inf,inf,
48,101.788000,15.5,25.3,30.0,21.0,
49,101.787750,inf,inf,inf,inf,
50,101.787500,inf,inf,inf,inf,
51,101.787250,15.5,25.4,30.0,21.1,
52,101.787000,inf,inf,inf,inf,
53,101.786750,inf,inf,inf,inf,
54,101.786500,15.1,25.3,30.0,20.7,
55,101.786250,inf,inf,inf,inf,
56,101.786000,inf,inf,inf,inf,
57,101.785750,14.8,25.3,30.0,20.5,
58,101.785500,inf,inf,inf,inf,
59,101.785250,inf,inf,inf,inf,
60,101.785000,14.8,25.3,30.0,20.5,
61,101.784750,inf,inf,inf,inf,
62,101.784500,inf,inf,inf,inf,
63,101.784250,15.1,25.3,30.0,20.7,
64,101.784000,inf,inf,inf,inf,
65,101.783750,inf,inf,inf,inf,
66,101.783500,15.2,25.3,30.0,20.8,
67,101.783250,inf,inf,inf,inf,
68,101.783000,inf,inf,inf,inf,
69,101.782750,16.2,25.4,30.0,21.8,
70,101.782500,inf,inf,inf,inf,
71,101.782250,inf,inf,inf,inf,
72,101.782000,16.8,25.4,30.0,22.2,
73,101.781750,inf,inf,inf,inf,
74,101.781500,inf,inf,inf,inf,
75,101.781250,17.6,25.6,30.0,23.0,
76,101.781000,inf,inf,inf,inf,
77,101.780750,inf,inf,inf,inf,
78,101.780500,18.0,25.6,30.0,23.3,
79,101.780250,inf,inf,inf,inf,
80,101.780000,inf,inf,inf,inf,
81,101.779750,18.6,25.7,30.0,23.9,
82,101.779500,inf,inf,inf,inf,
83,101.779250,inf,inf,inf,inf,
84,101.779000,18.6,25.7,30.0,23.8,
85,101.778750,inf,inf,inf,inf,
86,101.778500,inf,inf,inf,inf,
87,101.778250,18.6,25.7,30.0,23.9,
88,101.778000,inf,inf,inf,inf,
89,101.777750,inf,inf,inf,inf,
90,101.777500,19.0,25.7,30.0,24.2,
91,101.777250,inf,inf,inf,inf,
92,101.777000,inf,inf,inf,inf,
93,101.776750,19.3,25.8,30.0,24.5,
94,101.776500,inf,inf,inf,inf,
95,101.776250,inf,inf,inf,inf,
96,101.776000,20.0,25.8,30.0,25.1,
97,101.775750,inf,inf,inf,inf,
98,101.775500,inf,inf,inf,inf,
99,101.775250,20.4,25.9,30.0,25.5,
100,101.775000,inf,inf,inf,inf,
101,101.774750,inf,inf,inf,inf,
102,101.774500,20.7,25.9,30.0,25.7,
103,101.774250,inf,inf,inf,inf,
104,101.774000,inf,inf,inf,inf,
105,101.773750,20.0,25.8,30.0,25.1,
106,101.773500,inf,inf,inf,inf,
107,101.773250,inf,inf,inf,inf,
108,101.773000,18.9,25.7,30.0,24.2,
109,101.772750,inf,inf,inf,inf,
110,101.772500,inf,inf,inf,inf,
111,101.772250,18.5,25.6,30.0,23.7,
112,101.772000,inf,inf,inf,inf,
113,101.771750,inf,inf,inf,inf,
114,101.771500,19.2,25.8,30.0,24.4,
115,101.771250,inf,inf,inf,inf,
116,101.771000,inf,inf,inf,inf,
117,101.770750,20.2,25.9,30.0,25.3,
118,101.770500,inf,inf,inf,inf,
119,101.770250,inf,inf,inf,inf,
120,101.770000,21.6,25.9,30.0,26.5,
121,101.769750,inf,inf,inf,inf,
122,101.769500,inf,inf,inf,inf,
123,101.769250,23.0,25.4,30.0,27.7,
124,101.769000,inf,inf,inf,inf,
125,101.768750,inf,inf,inf,inf,
126,101.768500,24.5,22.7,30.0,29.0,
127,101.768250,inf,inf,inf,inf,
128,101.768000,inf,inf,inf,inf,
129,101.767750,25.6,19.8,30.0,29.9,
130,101.767500,inf,inf,inf,inf,
131,101.767250,inf,inf,inf,inf,
132,101.767000,inf,inf,30.0,29.9,
133,101.766750,inf,inf,inf,inf,
134,101.766500,inf,inf,inf,inf,
135,101.766250,inf,inf,30.0,29.8,
136,101.766000,inf,inf,inf,inf,
137,101.765750,inf,inf,inf,inf,
138,101.765500,inf,inf,30.0,28.9,
139,101.765250,inf,inf,inf,inf,
140,101.765000,inf,inf,inf,inf,
141,101.764750,22.7,25.6,30.0,27.4,
142,101.764500,inf,inf,inf,inf,
143,101.764250,inf,inf,inf,inf,
144,101.764000,20.6,25.9,30.0,25.6,
145,101.763750,inf,inf,inf,inf,
146,101.763500,inf,inf,inf,inf,
147,101.763250,18.3,25.6,30.0,23.5,
148,101.763000,inf,inf,inf,inf,
149,101.762750,inf,inf,inf,inf,
150,101.762500,15.5,25.3,30.0,21.1,
151,101.762250,inf,inf,inf,inf,
152,101.762000,inf,inf,inf,inf,
153,101.761750,12.8,25.0,29.2,18.7,
154,101.761500,inf,inf,inf,inf,
155,101.761250,inf,inf,inf,inf,
156,101.761000,10.2,24.7,27.4,16.2,
157,101.760750,inf,inf,inf,inf,
158,101.760500,inf,inf,inf,inf,
159,101.760250,10.1,24.7,27.4,16.2,
160,101.760000,inf,inf,inf,inf,
161,101.759750,inf,inf,inf,inf,
162,101.759500,11.2,24.9,28.1,17.2,
163,101.759250,inf,inf,inf,inf,
164,101.759000,inf,inf,inf,inf,
165,101.758750,13.1,25.0,29.4,18.9,
166,101.758500,inf,inf,inf,inf,
167,101.758250,inf,inf,inf,inf,
168,101.758000,14.2,25.2,30.0,19.9,
169,101.757750,inf,inf,inf,inf,
170,101.757500,inf,inf,inf,inf,
171,101.757250,15.6,25.4,30.0,21.2,
172,101.757000,inf,inf,inf,inf,
173,101.756750,inf,inf,inf,inf,
174,101.756500,17.2,25.5,30.0,22.6,
175,101.756250,inf,inf,inf,inf,
176,101.756000,inf,inf,inf,inf,
177,101.755750,18.6,25.7,30.0,23.9,
178,101.755500,inf,inf,inf,inf,
179,101.755250,inf,inf,inf,inf,
180,101.755000,19.6,25.8,30.0,24.7,
181,101.754750,inf,inf,inf,inf,
182,101.754500,inf,inf,inf,inf,
183,101.754250,20.3,25.9,30.0,25.3,
184,101.754000,inf,inf,inf,inf,
185,101.753750,inf,inf,inf,inf,
186,101.753500,21.3,25.9,30.0,26.2,
187,101.753250,inf,inf,inf,inf,
188,101.753000,inf,inf,inf,inf,
189,101.752750,22.1,25.8,30.0,26.8,
190,101.752500,inf,inf,inf,inf,
191,101.752250,inf,inf,inf,inf,
192,101.752000,21.8,25.9,30.0,26.7,
193,101.751750,inf,inf,inf,inf,
194,101.751500,inf,inf,inf,inf,
195,101.751250,23.6,24.9,30.0,28.2,
196,101.751000,inf,inf,inf,inf,
197,101.750750,inf,inf,inf,inf,
198,101.750500,23.6,24.9,30.0,28.2,
199,101.750250,inf,inf,inf,inf,
200,101.750000,inf,inf,inf,inf,
201,101.749750,22.8,25.6,30.0,27.5,
202,101.749500,inf,inf,inf,inf,
203,101.749250,inf,inf,inf,inf,
204,101.749000,23.4,25.0,30.0,28.0,
205,101.748750,inf,inf,inf,inf,
206,101.748500,inf,inf,inf,inf,
207,101.748250,23.4,25.0,30.0,28.0,
208,101.748000,inf,inf,inf,inf,
209,101.747750,inf,inf,inf,inf,
210,101.747500,23.4,25.0,30.0,28.0,
211,101.747250,inf,inf,inf,inf,
212,101.747000,inf,inf,inf,inf,
213,101.746750,23.2,25.3,30.0,27.8,
214,101.746500,inf,inf,inf,inf,
215,101.746250,inf,inf,inf,inf,
216,101.746000,23.1,25.3,30.0,27.8,
217,101.745750,inf,inf,inf,inf,
218,101.745500,inf,inf,inf,inf,
219,101.745250,21.4,26.0,30.0,26.3,
220,101.745000,inf,inf,inf,inf,
