Track Name,,Line name,1150114XYLDN1,Report Name,Wear_left,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,100.970750,8.0,0.1,6.7,-0.1,
2,100.970500,8.5,0.7,7.4,0.3,
3,100.970250,8.5,0.6,7.3,0.4,
4,100.970000,8.6,0.8,7.4,0.5,
5,100.969750,8.6,0.8,7.5,0.4,
6,100.969500,8.6,0.8,7.5,0.4,
7,100.969250,8.7,1.0,7.6,0.5,
8,100.969000,8.6,0.7,7.5,0.3,
9,100.968750,8.5,0.8,7.4,0.5,
10,100.968500,8.4,0.7,7.3,0.4,
11,100.968250,8.5,1.0,7.4,0.5,
12,100.968000,8.3,0.9,7.2,0.6,
13,100.967750,8.3,1.0,7.2,0.5,
14,100.967500,8.2,0.9,7.1,0.4,
15,100.967250,8.2,0.9,7.0,0.5,
16,100.967000,8.2,0.9,7.2,0.5,
17,100.966750,8.2,1.1,7.3,0.6,
18,100.966500,8.2,1.1,7.2,0.6,
19,100.966250,8.4,1.5,7.4,0.9,
20,100.966000,8.0,1.1,7.0,0.5,
21,100.965750,7.9,1.1,6.8,0.6,
22,100.965500,8.0,1.4,7.0,0.8,
23,100.965250,7.7,1.0,6.6,0.5,
24,100.965000,7.8,1.1,6.7,0.6,
25,100.964750,7.8,1.2,6.8,0.7,
26,100.964500,7.7,1.0,6.6,0.4,
27,100.964250,7.8,1.1,6.7,0.6,
28,100.964000,7.8,1.0,6.7,0.5,
29,100.963750,7.6,0.9,6.5,0.4,
30,100.963500,7.6,0.9,6.5,0.5,
31,100.963250,7.5,0.8,6.4,0.3,
32,100.963000,7.4,0.7,6.1,0.2,
33,100.962750,7.4,0.7,6.1,0.4,
34,100.962500,7.7,1.0,6.5,0.6,
35,100.962250,7.5,0.8,6.2,0.3,
36,100.962000,7.6,0.7,6.4,0.4,
37,100.961750,7.6,0.7,6.3,0.4,
38,100.961500,7.5,0.7,6.3,0.3,
39,100.961250,7.6,0.9,6.4,0.5,
40,100.961000,7.6,0.9,6.5,0.5,
41,100.960750,7.5,0.9,6.3,0.4,
42,100.960500,7.5,0.8,6.4,0.4,
43,100.960250,7.6,1.0,6.5,0.4,
44,100.960000,7.5,0.6,6.3,0.1,
45,100.959750,7.7,0.9,6.6,0.5,
46,100.959500,7.8,1.1,6.8,0.5,
47,100.959250,7.6,0.8,6.4,0.3,
48,100.959000,7.8,1.0,6.6,0.6,
