Track Name,,Line name,1150114XYLDN1,Report Name,Wear_right,Operator,
Starting Km,100.971,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 02:15:28

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,100.970750,0.5,0.0,1.2,0.4,
2,100.970500,1.5,0.3,1.6,0.7,
3,100.970250,0.7,0.7,1.8,0.9,
4,100.970000,1.0,0.5,1.7,0.8,
5,100.969750,0.3,0.6,1.7,0.8,
6,100.969500,0.3,0.4,1.5,0.7,
7,100.969250,1.3,0.4,1.6,0.8,
8,100.969000,1.4,0.3,1.6,0.8,
9,100.968750,0.6,0.4,1.6,0.7,
10,100.968500,0.7,0.3,1.5,0.7,
11,100.968250,1.1,0.4,1.6,0.8,
12,100.968000,0.8,0.2,1.4,0.6,
13,100.967750,0.6,0.2,1.4,0.6,
14,100.967500,0.1,0.5,1.5,0.8,
15,100.967250,0.0,0.2,1.3,0.6,
16,100.967000,0.1,0.0,1.1,0.4,
17,100.966750,0.0,0.2,1.1,0.6,
18,100.966500,1.1,0.0,1.3,0.5,
19,100.966250,0.9,0.1,1.2,0.5,
20,100.966000,1.1,0.2,1.4,0.7,
21,100.965750,1.3,0.2,1.3,0.7,
22,100.965500,1.3,0.0,1.3,0.5,
23,100.965250,1.4,0.3,1.6,0.7,
24,100.965000,1.3,0.3,1.6,0.7,
25,100.964750,1.4,0.2,1.6,0.6,
26,100.964500,0.3,0.6,1.6,0.8,
27,100.964250,1.3,0.5,1.6,0.9,
28,100.964000,0.8,0.5,1.6,0.8,
29,100.963750,1.6,0.7,1.7,1.1,
30,100.963500,0.4,0.9,1.7,1.0,
31,100.963250,1.3,0.2,1.4,0.7,
32,100.963000,1.2,0.4,1.5,0.7,
33,100.962750,0.2,0.6,1.5,0.8,
34,100.962500,1.2,0.2,1.3,0.7,
35,100.962250,0.6,0.4,1.4,0.7,
36,100.962000,0.8,0.5,1.5,0.7,
37,100.961750,1.8,0.6,1.9,0.9,
38,100.961500,1.1,0.4,1.7,0.6,
39,100.961250,1.6,1.1,2.2,1.5,
40,100.961000,0.5,0.7,1.8,0.8,
41,100.960750,1.1,0.9,2.0,1.1,
42,100.960500,0.7,0.7,1.8,0.9,
43,100.960250,0.9,0.8,1.8,1.0,
44,100.960000,0.9,0.5,1.6,0.8,
45,100.959750,1.7,0.3,1.5,0.7,
46,100.959500,1.4,0.3,1.5,0.6,
47,100.959250,0.9,0.5,1.5,0.8,
48,100.959000,1.2,0.7,1.8,1.0,
49,100.958750,1.2,0.7,1.9,1.0,
50,100.958500,1.6,0.4,1.6,0.8,
51,100.958250,1.1,0.5,1.5,0.8,
52,100.958000,0.7,0.6,1.7,0.9,
53,100.957750,0.6,0.6,1.6,0.9,
54,100.957500,0.6,0.3,1.3,0.7,
55,100.957250,1.1,0.1,1.3,0.6,
56,100.957000,0.7,0.2,1.4,0.7,
57,100.956750,1.2,0.4,1.5,0.8,
58,100.956500,1.0,0.0,1.2,0.5,
59,100.956250,0.6,0.5,1.5,0.9,
60,100.956000,1.2,0.4,1.4,0.8,
61,100.955750,0.2,0.3,1.2,0.6,
62,100.955500,0.5,0.4,1.3,0.7,
63,100.955250,0.9,0.2,1.3,0.6,
64,100.955000,0.9,0.0,1.2,0.4,
65,100.954750,0.2,0.5,1.4,0.7,
66,100.954500,1.2,0.5,1.5,0.9,
67,100.954250,0.4,0.5,1.5,0.7,
68,100.954000,0.2,0.6,1.6,0.8,
69,100.953750,0.8,0.4,1.5,0.8,
70,100.953500,1.2,0.4,1.5,0.8,
71,100.953250,1.6,0.4,1.5,0.8,
72,100.953000,1.1,0.6,1.7,1.0,
73,100.952750,0.4,0.9,1.8,1.0,
74,100.952500,0.4,0.6,1.5,0.9,
75,100.952250,1.1,0.6,1.6,0.9,
76,100.952000,0.5,0.7,1.6,0.9,
77,100.951750,0.9,0.7,1.6,1.0,
78,100.951500,0.9,0.5,1.5,0.8,
79,100.951250,0.7,0.7,1.6,0.9,
80,100.951000,0.3,0.7,1.5,0.9,
81,100.950750,1.0,0.5,1.5,0.9,
82,100.950500,1.2,0.3,1.3,0.7,
83,100.950250,1.1,0.4,1.3,0.8,
84,100.950000,0.5,0.4,1.3,0.8,
85,100.949750,1.1,0.0,1.1,0.4,
86,100.949500,1.1,0.4,1.4,0.8,
87,100.949250,1.4,0.5,1.5,0.8,
88,100.949000,0.4,0.4,1.4,0.6,
89,100.948750,1.1,0.3,1.4,0.7,
90,100.948500,1.2,0.4,1.5,0.8,
91,100.948250,0.8,0.2,1.4,0.6,
92,100.948000,0.7,0.4,1.5,0.7,
93,100.947750,0.9,0.2,1.5,0.7,
94,100.947500,0.5,0.3,1.5,0.7,
95,100.947250,1.3,0.3,1.4,0.8,
96,100.947000,1.5,0.3,1.4,0.8,
97,100.946750,0.3,0.6,1.5,1.0,
98,100.946500,0.8,0.4,1.5,0.9,
99,100.946250,1.0,0.2,1.4,0.7,
100,100.946000,0.2,0.6,1.5,0.9,
101,100.945750,0.0,0.5,1.3,0.8,
102,100.945500,0.3,0.7,1.5,1.0,
103,100.945250,1.2,0.0,1.1,0.6,
104,100.945000,0.3,0.5,1.4,0.8,
105,100.944750,0.7,0.5,1.4,0.8,
106,100.944500,0.1,0.0,1.1,0.4,
107,100.944250,0.0,0.5,1.3,0.7,
108,100.944000,1.1,0.4,1.5,0.8,
109,100.943750,1.5,0.2,1.6,0.6,
110,100.943500,0.7,0.7,1.8,0.8,
111,100.943250,0.6,0.9,1.9,1.1,
112,100.943000,0.4,0.4,1.6,0.6,
113,100.942750,0.4,0.7,1.8,1.0,
114,100.942500,1.6,0.5,1.8,0.9,
115,100.942250,1.4,0.3,1.7,0.7,
116,100.942000,1.5,0.6,1.8,0.9,
117,100.941750,1.4,0.6,1.8,0.8,
118,100.941500,1.5,0.2,1.5,0.6,
119,100.941250,0.7,0.8,1.7,1.0,
120,100.941000,0.2,0.6,1.5,0.8,
