Track Name,,Line name,1150114XYLUP,Report Name,Wear_left,Operator,
Starting Km,92.700,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 03:02:09

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,92.700250,0.2,0.0,0.0,0.1,
2,92.700500,0.1,0.0,0.0,-0.1,
3,92.700750,0.2,0.0,0.0,-0.2,
4,92.701000,0.3,0.0,0.0,0.3,
5,92.701250,0.3,0.0,0.0,-0.0,
6,92.701500,0.3,0.0,0.0,-0.1,
7,92.701750,0.4,0.0,0.0,0.2,
8,92.702000,0.4,0.0,0.0,-0.0,
9,92.702250,0.5,0.0,0.0,0.1,
10,92.702500,0.4,0.0,0.0,0.1,
11,92.702750,0.5,0.0,0.0,-0.1,
12,92.703000,0.5,0.0,0.0,0.2,
13,92.703250,1.0,0.3,0.0,0.8,
14,92.703500,0.6,0.0,0.0,0.3,
15,92.703750,0.6,0.0,0.0,0.1,
16,92.704000,1.0,0.4,0.0,0.9,
17,92.704250,1.0,0.3,0.0,0.6,
18,92.704500,0.8,0.1,0.0,0.6,
19,92.704750,0.9,0.3,0.0,0.8,
20,92.705000,0.7,0.4,0.0,0.7,
21,92.705250,0.8,0.2,0.0,0.6,
22,92.705500,0.9,0.5,0.0,0.9,
23,92.705750,0.5,0.0,0.0,0.3,
24,92.706000,0.6,0.0,0.0,0.4,
25,92.706250,0.9,0.2,0.0,0.7,
26,92.706500,0.7,0.0,0.0,0.2,
27,92.706750,0.6,0.0,0.0,0.2,
28,92.707000,0.5,0.0,0.0,0.4,
29,92.707250,0.4,0.0,0.0,0.2,
30,92.707500,0.5,0.0,0.0,0.3,
31,92.707750,0.7,0.0,0.0,0.6,
32,92.708000,0.6,0.0,0.0,0.6,
33,92.708250,0.8,0.1,0.0,0.7,
34,92.708500,1.6,2.2,2.0,2.4,
35,92.708750,1.3,0.7,0.8,1.0,
36,92.709000,0.6,0.2,0.1,0.6,
37,92.709250,0.2,0.0,0.0,0.6,
38,92.709500,0.8,0.4,0.1,0.9,
39,92.709750,1.1,0.1,0.1,1.0,
40,92.710000,0.5,0.0,0.0,0.3,
41,92.710250,0.5,0.0,0.0,0.4,
42,92.710500,0.2,0.0,0.0,0.4,
43,92.710750,0.5,0.4,0.1,0.8,
44,92.711000,0.4,0.0,0.0,0.3,
45,92.711250,0.4,0.0,0.0,0.1,
46,92.711500,0.6,0.0,0.0,0.5,
47,92.711750,0.2,0.0,0.0,0.1,
48,92.712000,0.3,0.0,0.0,-0.1,
49,92.712250,0.5,0.0,0.0,0.0,
50,92.712500,0.4,0.0,0.0,-0.1,
51,92.712750,0.4,0.0,0.0,-0.1,
52,92.713000,0.4,0.0,0.0,-0.0,
53,92.713250,0.6,0.0,0.0,-0.1,
54,92.713500,0.6,0.0,0.0,0.1,
55,92.713750,0.8,0.0,0.0,0.3,
56,92.714000,0.7,0.0,0.0,-0.0,
57,92.714250,0.6,0.0,0.0,-0.1,
58,92.714500,0.6,0.0,0.0,0.1,
59,92.714750,0.5,0.0,0.0,-0.2,
60,92.715000,0.5,0.0,0.0,-0.2,
61,92.715250,0.7,0.0,0.0,0.2,
62,92.715500,0.5,0.0,0.0,-0.0,
63,92.715750,0.4,0.0,0.0,-0.2,
64,92.716000,0.6,0.0,0.0,0.2,
65,92.716250,0.7,0.0,0.0,0.1,
66,92.716500,0.6,0.0,0.0,-0.2,
67,92.716750,0.5,0.0,0.0,-0.0,
68,92.717000,0.5,0.0,0.0,-0.0,
69,92.717250,0.7,0.0,0.0,-0.1,
70,92.717500,0.7,0.0,0.0,-0.2,
71,92.717750,0.7,0.0,0.0,-0.0,
72,92.718000,0.8,0.0,0.0,0.0,
73,92.718250,0.9,0.0,0.0,-0.1,
74,92.718500,0.8,0.0,0.0,0.1,
75,92.718750,0.6,0.0,0.0,-0.1,
76,92.719000,0.5,0.0,0.0,-0.2,
77,92.719250,0.7,0.0,0.0,-0.4,
78,92.719500,0.7,0.0,0.0,0.0,
79,92.719750,0.9,0.0,0.0,0.2,
80,92.720000,0.8,0.0,0.0,0.0,
81,92.720250,0.8,0.0,0.0,-0.3,
82,92.720500,1.0,0.0,0.0,0.1,
83,92.720750,1.0,0.0,0.0,-0.0,
84,92.721000,1.1,0.0,0.0,0.0,
85,92.721250,1.2,0.0,0.0,0.1,
86,92.721500,1.0,0.0,0.0,-0.2,
87,92.721750,1.1,0.0,0.0,-0.0,
88,92.722000,1.4,0.1,0.0,0.6,
89,92.722250,1.1,0.0,0.0,-0.2,
90,92.722500,0.8,0.0,0.0,0.0,
91,92.722750,0.8,0.0,0.0,0.3,
92,92.723000,0.7,0.0,0.0,0.2,
93,92.723250,0.7,0.0,0.0,0.1,
94,92.723500,0.7,0.0,0.0,0.3,
95,92.723750,0.5,0.0,0.0,-0.0,
96,92.724000,0.5,0.0,0.0,0.0,
97,92.724250,0.5,0.0,0.0,0.4,
98,92.724500,0.6,0.0,0.0,0.2,
99,92.724750,0.3,0.0,0.0,0.0,
100,92.725000,0.6,0.1,0.0,0.5,
101,92.725250,0.2,0.0,0.0,-0.0,
102,92.725500,0.2,0.0,0.0,-0.2,
103,92.725750,0.3,0.0,0.0,0.1,
104,92.726000,0.4,0.0,0.0,0.1,
105,92.726250,0.3,0.0,0.0,-0.0,
106,92.726500,0.5,0.0,0.0,0.3,
107,92.726750,0.3,0.0,0.0,0.0,
108,92.727000,0.4,0.0,0.0,-0.2,
109,92.727250,0.6,0.0,0.0,0.3,
110,92.727500,0.6,0.0,0.0,0.4,
111,92.727750,0.8,0.0,0.0,0.0,
112,92.728000,0.8,0.3,0.1,0.7,
113,92.728250,0.4,0.0,0.0,0.1,
114,92.728500,0.3,0.0,0.0,-0.2,
115,92.728750,0.5,0.0,0.0,0.2,
116,92.729000,0.4,0.0,0.0,0.1,
117,92.729250,0.5,0.0,0.0,0.0,
118,92.729500,0.9,0.3,0.0,0.7,
119,92.729750,0.6,0.0,0.0,0.1,
120,92.730000,0.7,0.0,0.0,-0.1,
121,92.730250,0.9,0.1,0.0,0.6,
122,92.730500,0.7,0.0,0.0,-0.0,
123,92.730750,0.6,0.0,0.0,-0.1,
124,92.731000,0.7,0.0,0.0,0.4,
125,92.731250,0.9,0.0,0.0,0.2,
126,92.731500,0.8,0.0,0.0,0.1,
127,92.731750,1.0,0.2,0.0,0.6,
128,92.732000,0.6,0.0,0.0,0.1,
129,92.732250,0.5,0.0,0.0,0.1,
130,92.732500,0.6,0.0,0.0,0.3,
131,92.732750,0.4,0.0,0.0,-0.1,
132,92.733000,0.5,0.0,0.0,-0.4,
133,92.733250,0.9,0.0,0.0,0.4,
134,92.733500,0.6,0.0,0.0,0.0,
135,92.733750,0.4,0.0,0.0,-0.2,
136,92.734000,0.7,0.0,0.0,0.5,
137,92.734250,0.8,0.0,0.0,0.2,
138,92.734500,0.8,0.0,0.0,0.1,
139,92.734750,1.0,0.0,0.0,0.5,
140,92.735000,0.7,0.0,0.0,-0.1,
141,92.735250,0.7,0.0,0.0,-0.2,
142,92.735500,0.8,0.0,0.0,-0.4,
143,92.735750,0.9,0.0,0.0,-0.1,
144,92.736000,0.8,0.0,0.0,-0.0,
145,92.736250,1.0,0.0,0.0,0.1,
146,92.736500,1.0,0.0,0.0,-0.1,
147,92.736750,1.2,0.0,0.0,-0.1,
