Track Name,,Line name,1150114XYLUP,Report Name,Wear_right,Operator,
Starting Km,92.700,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 03:02:09

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,92.700250,0.4,0.0,0.8,0.3,
2,92.700500,0.0,0.0,0.9,0.3,
3,92.700750,0.9,0.0,0.9,0.3,
4,92.701000,0.8,0.0,0.9,0.2,
5,92.701250,1.0,0.0,0.7,0.1,
6,92.701500,0.5,0.0,0.7,0.2,
7,92.701750,0.7,0.0,0.7,0.2,
8,92.702000,0.3,0.0,0.7,0.1,
9,92.702250,0.0,0.0,0.5,0.2,
10,92.702500,0.0,0.0,0.6,0.4,
11,92.702750,0.6,0.0,0.6,0.3,
12,92.703000,0.2,0.0,0.6,0.3,
13,92.703250,0.7,0.0,0.4,0.1,
14,92.703500,0.0,0.0,0.4,0.3,
15,92.703750,0.0,0.0,0.7,0.5,
16,92.704000,0.4,0.0,0.6,0.0,
17,92.704250,0.8,0.0,0.8,0.1,
18,92.704500,0.5,0.0,1.2,0.4,
19,92.704750,0.8,0.0,1.0,0.3,
20,92.705000,0.4,0.0,1.1,0.3,
21,92.705250,0.0,0.0,1.0,0.2,
22,92.705500,0.0,0.0,1.0,0.6,
23,92.705750,0.0,0.0,0.7,0.3,
24,92.706000,0.7,0.0,1.0,0.3,
25,92.706250,0.5,0.0,0.9,-0.1,
26,92.706500,1.1,0.0,1.1,0.1,
27,92.706750,1.0,0.0,1.2,0.2,
28,92.707000,0.0,0.0,1.1,0.1,
29,92.707250,1.2,0.0,1.4,0.2,
30,92.707500,1.0,0.0,1.5,0.3,
31,92.707750,0.8,0.0,1.3,0.3,
32,92.708000,1.4,0.0,1.2,0.2,
33,92.708250,0.6,0.0,0.8,0.1,
34,92.708500,1.4,0.2,1.1,1.1,
35,92.708750,1.1,0.3,1.1,1.2,
36,92.709000,0.2,0.0,0.8,0.9,
37,92.709250,1.0,0.0,0.9,0.7,
38,92.709500,0.7,0.0,0.9,0.5,
39,92.709750,1.1,0.0,0.9,0.3,
40,92.710000,1.1,0.0,0.7,-0.0,
41,92.710250,0.2,0.0,0.4,-0.1,
42,92.710500,1.0,0.0,0.6,0.0,
43,92.710750,0.8,0.0,0.7,-0.1,
44,92.711000,0.1,0.0,0.8,0.1,
45,92.711250,0.6,0.0,0.8,0.0,
46,92.711500,0.3,0.0,0.8,0.0,
47,92.711750,0.1,0.0,1.0,0.2,
48,92.712000,0.2,0.0,0.9,0.3,
49,92.712250,1.2,0.0,0.5,-0.1,
50,92.712500,0.4,0.0,0.4,0.0,
51,92.712750,0.6,0.0,0.6,0.1,
52,92.713000,1.0,0.0,0.7,0.1,
53,92.713250,0.7,0.0,0.6,0.0,
54,92.713500,0.1,0.0,0.8,0.2,
55,92.713750,1.2,0.0,0.7,0.3,
56,92.714000,0.4,0.0,0.7,0.4,
57,92.714250,1.0,0.0,0.5,0.3,
58,92.714500,0.2,0.0,0.0,0.1,
59,92.714750,0.0,0.0,0.3,0.3,
60,92.715000,0.0,0.0,0.4,0.4,
61,92.715250,1.1,0.0,0.5,0.1,
62,92.715500,0.0,0.0,0.1,-0.1,
63,92.715750,0.0,0.0,0.0,-0.3,
64,92.716000,0.7,0.0,0.2,0.2,
65,92.716250,0.0,0.0,0.4,0.1,
66,92.716500,0.0,0.0,0.3,0.1,
67,92.716750,0.0,0.0,0.2,0.0,
68,92.717000,0.7,0.0,0.3,0.2,
69,92.717250,0.0,0.0,0.3,0.2,
70,92.717500,0.0,0.0,0.4,0.3,
71,92.717750,0.1,0.0,0.1,0.2,
72,92.718000,0.3,0.0,0.0,0.2,
73,92.718250,0.5,0.0,0.0,-0.1,
74,92.718500,0.5,0.0,0.0,0.0,
75,92.718750,0.6,0.0,0.0,-0.0,
76,92.719000,0.0,0.0,0.0,-0.0,
77,92.719250,0.0,0.0,0.0,0.0,
78,92.719500,0.4,0.0,0.0,0.2,
79,92.719750,0.1,0.0,0.0,-0.0,
80,92.720000,0.0,0.0,0.0,0.2,
81,92.720250,0.0,0.0,0.2,0.3,
82,92.720500,0.9,0.0,0.0,0.1,
83,92.720750,1.3,0.0,0.4,0.5,
