Track Name,,Line name,1150119CHLZLUP,Report Name,Wear_left,Operator,
Starting Km,92.200,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2026.01.20, Measurement Time, 01:51:33

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,92.200250,4.2,18.1,19.6,24.2,
2,92.200500,1.8,0.0,0.4,0.0,
3,92.200750,2.3,0.0,1.0,0.5,
4,92.201000,2.3,0.0,0.8,0.6,
5,92.201250,2.4,0.0,1.0,0.9,
6,92.201500,2.4,0.0,0.9,0.8,
7,92.201750,2.6,0.0,1.1,0.8,
8,92.202000,2.5,0.0,1.0,0.7,
9,92.202250,2.6,0.0,1.1,0.9,
10,92.202500,2.5,0.0,0.7,0.9,
11,92.202750,2.7,0.0,1.0,0.7,
12,92.203000,2.6,0.0,0.9,0.6,
13,92.203250,2.7,0.0,1.3,0.8,
14,92.203500,2.8,0.8,1.8,1.5,
15,92.203750,2.8,0.0,1.1,0.8,
16,92.204000,2.7,0.0,0.9,0.9,
17,92.204250,3.0,0.9,1.9,1.8,
18,92.204500,3.0,0.3,1.6,1.2,
19,92.204750,3.0,0.0,1.1,1.0,
20,92.205000,3.0,0.9,2.1,1.8,
21,92.205250,2.9,0.0,0.9,1.0,
22,92.205500,2.9,0.1,0.9,1.1,
23,92.205750,3.1,1.1,1.6,1.9,
24,92.206000,3.4,0.9,2.2,6.1,
25,92.206250,2.6,0.0,0.4,-0.3,
26,92.206500,3.2,1.6,2.5,2.2,
27,92.206750,3.1,0.3,1.3,1.2,
28,92.207000,3.2,0.3,1.4,1.1,
29,92.207250,3.1,0.7,1.5,1.5,
30,92.207500,3.2,0.2,1.5,1.0,
31,92.207750,3.2,0.0,1.3,0.9,
32,92.208000,3.2,1.2,2.4,1.9,
33,92.208250,3.2,0.1,1.5,1.0,
34,92.208500,3.2,0.2,1.3,1.0,
35,92.208750,3.3,0.9,1.8,1.7,
36,92.209000,3.3,0.2,1.5,1.0,
37,92.209250,3.2,0.1,1.4,0.9,
38,92.209500,3.3,1.0,2.4,1.8,
39,92.209750,3.3,0.2,1.6,1.0,
40,92.210000,3.3,0.0,1.5,1.0,
41,92.210250,3.5,1.1,2.5,2.0,
42,92.210500,3.1,0.0,1.4,0.7,
43,92.210750,3.1,0.0,1.5,0.8,
44,92.211000,3.1,0.7,2.0,1.5,
45,92.211250,3.1,0.0,1.4,0.7,
46,92.211500,3.3,0.0,1.3,0.7,
47,92.211750,3.5,1.0,3.3,1.7,
48,92.212000,3.5,0.1,1.8,0.9,
49,92.212250,3.7,0.1,1.7,1.0,
50,92.212500,3.6,1.3,2.7,2.1,
51,92.212750,3.3,0.0,1.5,0.6,
52,92.213000,3.3,0.0,1.3,0.6,
53,92.213250,3.2,0.7,2.0,1.6,
54,92.213500,3.0,0.0,1.5,0.8,
55,92.213750,3.0,0.2,1.8,0.9,
56,92.214000,3.2,1.1,2.3,1.6,
57,92.214250,3.4,0.1,1.7,0.8,
58,92.214500,3.2,0.0,1.2,0.7,
59,92.214750,3.5,1.5,2.4,1.9,
60,92.215000,3.1,0.0,1.4,0.6,
61,92.215250,3.3,0.0,1.8,0.8,
62,92.215500,3.4,0.8,2.0,1.7,
63,92.215750,3.4,0.1,1.8,0.9,
64,92.216000,3.5,0.1,2.0,0.8,
65,92.216250,3.7,1.1,2.5,1.7,
66,92.216500,3.8,0.3,2.1,0.9,
67,92.216750,3.9,0.5,2.2,1.0,
68,92.217000,3.9,1.2,2.6,1.8,
69,92.217250,4.2,0.2,2.0,1.0,
70,92.217500,3.9,0.0,2.0,0.9,
71,92.217750,3.8,0.2,2.1,1.3,
72,92.218000,4.0,0.0,2.3,0.9,
73,92.218250,3.8,0.0,2.0,0.6,
74,92.218500,3.9,0.1,2.3,0.9,
75,92.218750,4.1,0.2,2.3,0.9,
76,92.219000,4.1,0.3,2.3,1.0,
77,92.219250,3.8,0.0,1.8,0.7,
78,92.219500,4.0,0.3,2.2,1.1,
79,92.219750,4.0,0.1,2.1,0.8,
80,92.220000,3.8,0.0,2.0,0.3,
81,92.220250,4.0,0.0,1.9,0.7,
82,92.220500,4.1,0.0,2.1,0.7,
83,92.220750,3.9,0.0,1.8,0.8,
84,92.221000,4.1,0.0,2.0,0.8,
85,92.221250,4.1,0.0,1.9,0.8,
86,92.221500,4.2,0.0,2.3,1.1,
87,92.221750,4.2,0.2,2.2,1.0,
88,92.222000,3.9,0.0,1.9,0.9,
89,92.222250,3.8,0.0,1.6,0.5,
