Track Name,,Line name,1150119CHLZLUP,Report Name,Wear_right,Operator,
Starting Km,92.200,Ending Km,,Track Direction, increase
Wavelength, , Measurement Date, 2026.01.20, Measurement Time, 01:51:33

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,92.200250,7.3,0.0,2.7,-18.7,
2,92.200500,3.0,0.4,2.5,1.0,
3,92.200750,3.8,0.7,3.1,1.2,
4,92.201000,3.3,0.4,2.9,1.1,
5,92.201250,3.6,1.2,3.1,1.5,
6,92.201500,3.7,0.0,3.5,1.2,
7,92.201750,3.5,0.3,2.8,0.9,
8,92.202000,3.8,1.2,3.3,1.6,
9,92.202250,3.8,0.8,3.6,1.3,
10,92.202500,4.0,0.5,3.2,1.1,
11,92.202750,3.6,1.1,3.2,1.5,
12,92.203000,3.6,0.6,3.0,1.2,
13,92.203250,3.9,0.7,3.9,1.3,
14,92.203500,4.3,1.8,4.1,2.1,
15,92.203750,3.9,0.3,3.8,1.2,
16,92.204000,3.7,0.3,3.6,1.3,
17,92.204250,3.5,1.2,3.7,1.9,
18,92.204500,3.4,0.4,3.4,1.3,
19,92.204750,3.4,0.4,3.1,0.9,
20,92.205000,3.3,0.0,3.3,1.0,
21,92.205250,3.5,0.4,3.1,1.0,
22,92.205500,3.2,0.4,2.9,1.0,
23,92.205750,3.5,0.4,3.1,1.0,
24,92.206000,3.8,1.1,3.8,1.6,
25,92.206250,4.5,0.6,4.4,1.7,
26,92.206500,4.7,4.6,10.1,4.7,
27,92.206750,3.5,0.5,3.7,1.4,
28,92.207000,3.3,0.3,2.9,1.2,
29,92.207250,3.6,1.2,3.2,1.7,
30,92.207500,3.3,0.1,3.2,1.1,
31,92.207750,3.6,0.0,3.4,1.1,
32,92.208000,3.8,0.5,3.6,1.6,
33,92.208250,4.0,0.8,3.3,1.3,
34,92.208500,4.0,1.0,3.4,1.5,
35,92.208750,3.6,1.2,3.3,1.7,
36,92.209000,3.8,0.7,3.1,1.3,
37,92.209250,3.2,0.4,2.3,1.1,
38,92.209500,3.3,1.0,3.0,1.5,
39,92.209750,3.5,0.3,2.6,1.0,
40,92.210000,3.8,0.4,3.2,1.1,
41,92.210250,3.5,0.0,2.9,0.8,
42,92.210500,3.6,0.0,3.2,0.7,
43,92.210750,3.9,0.0,3.7,1.0,
44,92.211000,3.8,0.3,3.5,1.0,
45,92.211250,3.7,0.0,3.7,0.7,
46,92.211500,4.3,0.0,4.0,0.8,
47,92.211750,4.0,0.4,3.4,1.1,
48,92.212000,4.0,0.0,3.4,0.7,
49,92.212250,4.1,0.1,3.7,0.6,
50,92.212500,4.2,0.2,3.4,0.9,
51,92.212750,4.4,0.4,4.2,1.1,
52,92.213000,3.9,0.0,3.7,1.0,
53,92.213250,4.4,0.4,4.1,1.5,
54,92.213500,3.9,0.0,3.7,1.1,
55,92.213750,3.8,0.0,3.1,0.7,
56,92.214000,3.8,0.0,3.1,0.9,
57,92.214250,3.9,0.0,3.2,0.7,
58,92.214500,4.1,0.0,3.1,0.7,
59,92.214750,4.1,0.3,3.3,0.9,
60,92.215000,4.1,0.0,3.3,0.6,
61,92.215250,4.5,0.3,3.8,0.8,
62,92.215500,4.5,0.5,4.1,1.6,
63,92.215750,4.6,0.3,3.9,0.9,
64,92.216000,4.4,0.0,3.7,0.5,
65,92.216250,4.8,0.6,4.2,1.2,
66,92.216500,4.4,0.0,3.8,0.8,
67,92.216750,4.4,0.0,3.7,0.8,
68,92.217000,4.6,0.4,4.1,1.1,
69,92.217250,4.9,0.2,4.5,0.9,
70,92.217500,4.8,0.0,4.5,1.0,
71,92.217750,4.8,0.5,4.6,1.7,
72,92.218000,4.1,0.0,3.9,0.8,
73,92.218250,4.4,0.0,3.8,0.8,
74,92.218500,4.4,0.4,3.8,1.1,
75,92.218750,4.8,0.0,4.3,0.8,
76,92.219000,4.4,0.0,4.0,0.6,
77,92.219250,4.8,0.6,4.3,1.5,
78,92.219500,4.8,0.3,4.2,1.0,
79,92.219750,4.5,0.0,4.0,0.7,
80,92.220000,4.3,0.5,3.9,1.1,
81,92.220250,4.1,0.0,3.6,6.9,
82,92.220500,4.4,0.0,3.8,0.8,
83,92.220750,4.4,0.0,3.7,0.8,
84,92.221000,4.8,0.0,4.3,0.6,
85,92.221250,4.8,0.0,4.3,0.6,
86,92.221500,4.9,0.3,4.4,1.0,
87,92.221750,4.6,0.0,4.1,0.4,
88,92.222000,4.2,0.0,3.7,0.7,
89,92.222250,4.7,0.2,4.3,1.7,
90,92.222500,4.8,0.0,4.2,0.8,
91,92.222750,4.5,0.0,3.6,0.4,
92,92.223000,4.7,0.0,4.0,1.1,
93,92.223250,5.2,0.0,4.5,0.9,
94,92.223500,4.7,0.4,4.0,1.1,
95,92.223750,4.4,0.6,3.8,1.3,
96,92.224000,4.3,0.0,3.3,0.8,
97,92.224250,4.7,0.1,3.9,0.8,
98,92.224500,5.2,0.9,4.3,1.5,
99,92.224750,4.7,0.2,4.0,0.9,
