Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_left,Operator,
Starting Km,110.600,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 00:51:49

check,mile(Km),W1/L,W2/L,W3/L,W4/L,ID
1,110.599750,0.0,3.8,0.8,6.5,
2,110.599500,0.3,0.0,0.2,0.3,
3,110.599250,0.4,0.0,0.3,0.3,
4,110.599000,0.4,0.0,0.4,0.4,
5,110.598750,0.4,0.0,0.3,0.4,
6,110.598500,0.3,0.0,0.4,0.4,
7,110.598250,0.3,0.0,0.5,0.5,
8,110.598000,0.2,0.0,0.3,0.3,
9,110.597750,0.3,0.0,0.4,0.5,
10,110.597500,0.4,0.0,0.5,0.5,
11,110.597250,0.3,0.1,0.4,0.5,
12,110.597000,0.2,0.0,0.1,0.3,
13,110.596750,0.4,0.1,0.4,0.5,
14,110.596500,0.2,0.0,0.2,0.5,
15,110.596250,0.1,0.0,0.0,0.2,
16,110.596000,0.1,0.0,0.0,0.1,
17,110.595750,0.7,0.0,0.2,0.2,
18,110.595500,0.7,0.0,0.2,0.0,
19,110.595250,1.0,0.0,0.5,0.4,
20,110.595000,0.8,0.0,0.4,0.2,
21,110.594750,0.8,0.0,0.3,0.2,
22,110.594500,0.9,0.1,0.8,0.6,
23,110.594250,0.9,0.0,0.6,0.4,
24,110.594000,0.8,0.0,0.4,0.2,
25,110.593750,0.8,0.0,0.5,0.4,
26,110.593500,0.6,0.0,0.3,0.2,
27,110.593250,0.6,0.0,0.3,0.1,
28,110.593000,0.6,0.0,0.2,0.3,
29,110.592750,0.6,0.0,0.2,0.2,
30,110.592500,0.7,0.0,0.3,0.3,
31,110.592250,0.7,0.0,0.3,0.3,
32,110.592000,0.7,0.0,0.3,0.2,
33,110.591750,0.7,0.0,0.1,0.2,
34,110.591500,0.7,0.0,0.2,0.3,
35,110.591250,0.5,0.0,0.1,0.1,
36,110.591000,0.6,0.0,0.2,0.2,
37,110.590750,0.6,0.0,0.2,0.2,
38,110.590500,0.5,0.0,0.2,0.2,
39,110.590250,0.5,0.0,0.1,0.1,
40,110.590000,0.6,0.0,0.3,0.3,
41,110.589750,0.7,0.0,0.3,0.3,
42,110.589500,0.6,0.0,0.1,0.1,
43,110.589250,0.5,0.0,0.1,0.2,
44,110.589000,0.7,0.0,0.2,0.3,
45,110.588750,0.7,0.0,0.3,0.3,
46,110.588500,0.8,0.1,0.7,0.6,
47,110.588250,0.8,0.0,0.7,0.5,
48,110.588000,0.8,0.0,0.6,0.4,
49,110.587750,0.9,0.3,0.8,0.7,
50,110.587500,0.8,0.1,0.6,0.6,
51,110.587250,0.8,0.1,0.7,0.6,
52,110.587000,0.9,0.2,0.7,0.6,
53,110.586750,0.8,0.0,0.5,0.5,
54,110.586500,0.7,0.0,0.4,0.3,
55,110.586250,0.9,0.0,0.5,0.4,
56,110.586000,0.8,0.0,0.5,0.3,
57,110.585750,0.9,0.0,0.6,0.4,
58,110.585500,0.9,0.0,0.6,0.4,
59,110.585250,0.9,0.0,0.7,0.5,
60,110.585000,0.8,0.0,0.6,0.4,
61,110.584750,0.9,0.1,0.7,0.5,
62,110.584500,0.7,0.0,0.4,0.3,
63,110.584250,0.8,0.0,0.6,0.5,
64,110.584000,0.9,0.0,0.7,0.5,
65,110.583750,0.8,0.0,0.4,0.3,
66,110.583500,0.8,0.0,0.6,0.5,
67,110.583250,0.9,0.0,0.6,0.4,
68,110.583000,0.7,0.0,0.3,0.1,
69,110.582750,0.8,0.0,0.4,0.3,
70,110.582500,0.8,0.0,0.5,0.3,
71,110.582250,0.6,0.0,0.4,0.1,
72,110.582000,0.7,0.0,0.3,0.1,
73,110.581750,0.9,0.0,0.8,0.5,
74,110.581500,0.7,0.0,0.4,0.2,
75,110.581250,0.8,0.0,0.5,0.3,
76,110.581000,0.9,0.0,0.6,0.3,
77,110.580750,0.7,0.0,0.1,0.0,
78,110.580500,0.8,0.0,0.2,0.2,
79,110.580250,0.8,0.0,0.5,0.2,
80,110.580000,0.6,0.0,0.2,0.0,
81,110.579750,0.7,0.0,0.3,0.2,
82,110.579500,0.7,0.0,0.3,0.2,
83,110.579250,0.7,0.0,0.4,0.2,
84,110.579000,0.7,0.0,0.4,0.2,
85,110.578750,0.6,0.0,0.4,0.2,
86,110.578500,0.6,0.0,0.2,0.2,
87,110.578250,0.6,0.0,0.0,0.0,
88,110.578000,0.6,0.0,0.0,0.2,
89,110.577750,0.8,0.0,0.2,0.3,
90,110.577500,0.7,0.0,0.1,0.2,
91,110.577250,0.8,0.0,0.0,0.2,
92,110.577000,0.8,0.0,0.3,0.4,
93,110.576750,0.7,0.0,0.2,0.3,
94,110.576500,0.9,0.0,0.4,0.5,
95,110.576250,0.9,0.0,0.5,0.5,
96,110.576000,0.9,0.0,0.3,0.4,
97,110.575750,0.9,0.0,0.3,0.4,
98,110.575500,1.0,0.1,0.5,0.6,
99,110.575250,1.0,0.1,0.6,0.6,
100,110.575000,1.0,0.1,0.6,0.6,
101,110.574750,0.8,0.0,0.4,0.4,
102,110.574500,0.9,0.0,0.4,0.4,
103,110.574250,1.0,0.0,0.7,0.5,
104,110.574000,1.0,0.0,0.7,0.5,
105,110.573750,1.1,0.3,0.9,0.7,
106,110.573500,1.0,0.0,0.6,0.5,
107,110.573250,1.0,0.0,0.6,0.5,
108,110.573000,1.1,0.2,0.7,0.7,
109,110.572750,1.0,0.0,0.4,0.4,
110,110.572500,0.9,0.0,0.3,0.4,
111,110.572250,0.8,0.0,0.3,0.3,
112,110.572000,0.8,0.0,0.4,0.3,
113,110.571750,0.8,0.0,0.4,0.3,
114,110.571500,0.7,0.0,0.2,0.1,
115,110.571250,0.9,0.0,0.4,0.3,
116,110.571000,1.1,0.0,0.7,0.3,
117,110.570750,1.2,0.0,0.7,0.2,
118,110.570500,1.2,0.0,0.7,0.3,
119,110.570250,1.1,0.0,0.6,0.2,
120,110.570000,1.0,0.0,0.6,0.2,
121,110.569750,0.9,0.0,0.4,0.1,
122,110.569500,0.9,0.0,0.5,0.2,
123,110.569250,0.9,0.0,0.4,0.2,
124,110.569000,0.9,0.0,0.5,0.3,
125,110.568750,0.9,0.0,0.5,0.2,
