Track Name,,Line name,1150122CHLZLDN,Report Name,Wear_right,Operator,
Starting Km,100.290,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.23, Measurement Time, 02:17:46

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
1,100.289750,5.3,7.7,8.6,8.4,
2,100.289500,1.9,0.0,1.4,0.0,
3,100.289250,2.2,0.0,1.7,0.3,
4,100.289000,2.3,0.0,2.1,0.5,
5,100.288750,2.3,0.0,1.9,0.6,
6,100.288500,2.3,0.0,1.8,0.4,
7,100.288250,2.3,0.0,2.1,0.3,
8,100.288000,2.4,0.0,2.1,0.6,
9,100.287750,2.2,0.0,2.0,0.2,
10,100.287500,2.2,0.0,1.8,0.2,
11,100.287250,2.1,0.0,1.8,0.2,
12,100.287000,2.2,0.0,2.0,0.2,
13,100.286750,2.3,0.0,1.6,0.3,
14,100.286500,2.2,0.0,1.7,0.4,
15,100.286250,2.1,0.0,1.6,0.3,
16,100.286000,2.0,0.0,1.5,0.3,
17,100.285750,2.1,0.0,1.5,0.4,
18,100.285500,2.2,0.0,1.7,0.2,
19,100.285250,2.4,0.0,2.0,0.4,
20,100.285000,2.5,0.0,2.2,0.6,
21,100.284750,2.5,0.0,2.2,0.4,
22,100.284500,2.5,0.0,2.4,3.8,
23,100.284250,2.4,0.0,2.5,0.2,
24,100.284000,2.4,0.0,2.5,0.2,
25,100.283750,2.4,0.0,2.5,0.3,
26,100.283500,2.5,0.0,2.7,0.4,
27,100.283250,2.4,0.0,2.6,0.3,
28,100.283000,2.4,0.0,2.7,0.3,
29,100.282750,2.2,0.0,2.5,0.2,
30,100.282500,2.4,0.0,2.5,0.3,
31,100.282250,2.4,0.0,2.6,0.4,
32,100.282000,2.5,0.0,2.8,0.7,
33,100.281750,2.4,0.0,2.7,0.5,
34,100.281500,2.5,0.0,2.7,0.4,
35,100.281250,2.7,0.2,3.1,0.7,
36,100.281000,2.6,0.0,2.8,0.6,
37,100.280750,2.6,0.0,2.6,0.6,
38,100.280500,2.5,0.1,2.6,0.7,
39,100.280250,2.6,0.0,2.5,0.5,
40,100.280000,2.5,0.0,2.4,0.4,
41,100.279750,2.5,0.0,2.2,0.4,
42,100.279500,2.5,0.0,2.2,0.3,
43,100.279250,2.3,0.0,2.1,0.2,
44,100.279000,2.4,0.0,2.0,0.1,
45,100.278750,2.6,0.0,2.3,0.5,
46,100.278500,2.5,0.0,2.1,0.3,
47,100.278250,2.5,0.0,2.1,0.4,
48,100.278000,2.4,0.0,2.0,0.4,
49,100.277750,2.4,0.0,1.8,0.2,
50,100.277500,2.4,0.0,1.9,0.4,
51,100.277250,2.3,0.0,1.7,0.2,
52,100.277000,2.2,0.0,1.6,-0.0,
53,100.276750,2.4,0.0,1.9,0.4,
54,100.276500,2.5,0.0,2.0,0.4,
55,100.276250,2.5,0.0,2.1,0.4,
56,100.276000,2.6,0.0,2.3,0.5,
57,100.275750,2.3,0.0,2.0,0.0,
58,100.275500,2.3,0.0,2.1,0.1,
59,100.275250,2.5,0.0,2.5,0.6,
60,100.275000,2.3,0.0,2.4,0.4,
61,100.274750,2.4,0.0,2.6,0.5,
62,100.274500,2.3,0.0,2.5,0.7,
63,100.274250,2.4,0.0,2.5,0.5,
64,100.274000,2.2,0.0,2.3,0.4,
65,100.273750,2.4,0.0,2.5,0.5,
66,100.273500,2.5,0.0,2.5,0.4,
67,100.273250,2.4,0.0,2.5,0.1,
68,100.273000,2.5,0.0,2.7,0.4,
